url,year,month,stamp
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2002/visa-bulletin-for-december-2001.html,2001,DECEMBER,2001-12-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2002/visa-bulletin-for-january-2002.html,2002,JANUARY,2002-01-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2002/visa-bulletin-for-february-2002.html,2002,FEBRUARY,2002-02-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2002/visa-bulletin-for-march-2002.html,2002,MARCH,2002-03-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2002/visa-bulletin-for-april-2002.html,2002,APRIL,2002-04-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2002/visa-bulletin-for-may-2002.html,2002,MAY,2002-05-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2002/visa-bulletin-for-june-2002.html,2002,JUNE,2002-06-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2002/visa-bulletin-for-july-2002.html,2002,JULY,2002-07-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2002/visa-bulletin-for-august-2002.html,2002,AUGUST,2002-08-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2002/visa-bulletin-for-september-2002.html,2002,SEPTEMBER,2002-09-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2003/visa-bulletin-for-october-2002.html,2002,OCTOBER,2002-10-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2003/visa-bulletin-for-november-2002.html,2002,NOVEMBER,2002-11-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2003/visa-bulletin-for-december-2002.html,2002,DECEMBER,2002-12-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2003/visa-bulletin-for-january-2003.html,2003,JANUARY,2003-01-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2003/visa-bulletin-for-february-2003.html,2003,FEBRUARY,2003-02-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2003/visa-bulletin-for-march-2003.html,2003,MARCH,2003-03-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2003/visa-bulletin-for-april-2003.html,2003,APRIL,2003-04-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2003/visa-bulletin-for-may-2003.html,2003,MAY,2003-05-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2003/visa-bulletin-for-june-2003.html,2003,JUNE,2003-06-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2003/visa-bulletin-for-july-2003.html,2003,JULY,2003-07-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2003/visa-bulletin-for-august-2003.html,2003,AUGUST,2003-08-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2003/visa-bulletin-for-september-2003.html,2003,SEPTEMBER,2003-09-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2004/visa-bulletin-for-october-2003.html,2003,OCTOBER,2003-10-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2004/visa-bulletin-for-november-2003.html,2003,NOVEMBER,2003-11-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2004/visa-bulletin-for-december-2003.html,2003,DECEMBER,2003-12-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2004/visa-bulletin-for-january-2004.html,2004,JANUARY,2004-01-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2004/visa-bulletin-for-february-2004.html,2004,FEBRUARY,2004-02-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2004/visa-bulletin-for-march-2004.html,2004,MARCH,2004-03-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2004/visa-bulletin-for-april-2004.html,2004,APRIL,2004-04-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2004/visa-bulletin-for-may-2004.html,2004,MAY,2004-05-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2004/visa-bulletin-for-june-2004.html,2004,JUNE,2004-06-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2004/visa-bulletin-for-july-2004.html,2004,JULY,2004-07-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2004/visa-bulletin-for-august-2004.html,2004,AUGUST,2004-08-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2004/visa-bulletin-for-september-2004.html,2004,SEPTEMBER,2004-09-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2005/visa-bulletin-for-october-2004.html,2004,OCTOBER,2004-10-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2005/visa-bulletin-for-november-2004.html,2004,NOVEMBER,2004-11-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2005/visa-bulletin-for-december-2004.html,2004,DECEMBER,2004-12-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2005/visa-bulletin-for-january-2005.html,2005,JANUARY,2005-01-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2005/visa-bulletin-for-february-2005.html,2005,FEBRUARY,2005-02-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2005/visa-bulletin-for-march-2005.html,2005,MARCH,2005-03-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2005/visa-bulletin-for-april-2005.html,2005,APRIL,2005-04-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2005/visa-bulletin-for-may-2005.html,2005,MAY,2005-05-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2005/visa-bulletin-for-june-2005.html,2005,JUNE,2005-06-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2005/visa-bulletin-for-july-2005.html,2005,JULY,2005-07-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2005/visa-bulletin-for-august-2005.html,2005,AUGUST,2005-08-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2005/visa-bulletin-for-september-2005.html,2005,SEPTEMBER,2005-09-01
