url,sizeMB,Data Set,Data Dictionary,Downloads,Program Information,Tags,Date Posted
https://www.opm.gov/data/datasets/Files/721/550993be-94ba-476c-9d66-7f7e8871b07b.zip,23.06,FedScope Employment Cube (September 2024),[527.1 KB],[23.06 MB],Website: www.fedscope.opm.gov  Email: FedScope@opm.gov,,2/25/2025
https://www.opm.gov/data/datasets/Files/722/e5d6a529-b70f-4f13-87f0-863a80079d43.zip,22.82,FedScope Employment Cube (June 2024),[526.96 KB],[22.82 MB],Website: www.fedscope.opm.gov  Email: FedScope@opm.gov,,2/25/2025
https://www.opm.gov/data/datasets/Files/716/3679c569-8492-46db-934a-eb3882647abb.zip,22.53,FedScope Employment Cube (March 2024),[524.59 KB],[22.53 MB],Website: www.fedscope.opm.gov  Email: FedScope@opm.gov,,10/4/2024
https://www.opm.gov/data/datasets/Files/713/f49dcdc9-6985-4466-b20e-a1b1ec5ed259.zip,24.18,FedScope Employment Cube (December 2023),[524.75 KB],[24.18 MB],Website: www.fedscope.opm.gov  Email: FedScope@opm.gov,,8/6/2024
https://www.opm.gov/data/datasets/Files/691/41bdfdda-0ebe-4e19-81f8-5a98d55389b4.zip,24.12,FedScope Employment Cube (September 2023),[525.32 KB],[24.12 MB],Website: www.fedscope.opm.gov  Email: FedScope@opm.gov,,6/20/2024
https://www.opm.gov/data/datasets/Files/690/b83f99d3-51bb-4da5-bda8-9000b9bac0bb.zip,23.8,FedScope Employment Cube (June 2023),[527.92 KB],[23.8 MB],Website: www.fedscope.opm.gov  Email: FedScope@opm.gov,,6/20/2024
https://www.opm.gov/data/datasets/Files/652/21d85c40-bd35-4f20-9359-281a31af39b1.zip,12.68,FedScope Separations Cube (FY 2020 - FY 2024),[529.43 KB],[12.68 MB],Website: www.fedscope.opm.gov  Email: FedScope@opm.gov,fedscope,6/20/2024
https://www.opm.gov/data/datasets/Files/649/8caf0a70-9c09-4eb2-844f-71a4f21addfa.zip,12.23,FedScope Accessions Cube (FY 2020 - FY 2024),[527.82 KB],[12.23 MB],Website: www.fedscope.opm.gov  Email: FedScope@opm.gov,fedscope,6/20/2024
https://www.opm.gov/data/datasets/Files/685/ebe0b16d-5fdb-4c11-8e52-3d86f5bf20ae.zip,23.48,FedScope Employment Cube (March 2023),[521.96 KB],[23.48 MB],Website: www.fedscope.opm.gov  Email: FedScope@opm.gov,,6/20/2024
https://www.opm.gov/data/datasets/Files/679/c6a26e54-68b5-46fc-9a02-21a82843a41c.zip,23.3,FedScope Employment Cube (December 2022),[519.03 KB],[23.3 MB],Website: www.fedscope.opm.gov  Email: FedScope@opm.gov,,6/20/2024
https://www.opm.gov/data/datasets/Files/667/fab0e970-bb13-434e-b1df-e867705c7f4e.zip,23.34,FedScope Employment Cube (September 2022),[519.01 KB],[23.34 MB],Website: www.fedscope.opm.gov  Email: FedScope@opm.gov,,6/20/2024
https://www.opm.gov/data/datasets/Files/663/738ebe0d-095b-45cb-a2de-9b8816828473.zip,19.06,FedScope Employment Cube (June 2022),[519.77 KB],[19.06 MB],Website: www.fedscope.opm.gov  Email: FedScope@opm.gov,fedscope,2/18/2023
https://www.opm.gov/data/datasets/Files/660/a8e46059-4bd2-44b4-aac8-15cee4c18122.zip,18.97,FedScope Employment Cube (March 2022),[518.83 KB],[18.97 MB],Website: www.fedscope.opm.gov  Email: FedScope@opm.gov,fedscope,2/18/2023
https://www.opm.gov/data/datasets/Files/657/6ed9dc0d-6a72-4930-a927-c818fcd18b78.zip,19.07,FedScope Employment Cube (December 2021),[516.01 KB],[19.07 MB],Website: www.fedscope.opm.gov  Email: FedScope@opm.gov,fedscope,2/18/2023
https://www.opm.gov/data/datasets/Files/633/074d44a6-a8a2-4e35-9b2e-969f2cc8363f.zip,19.27,FedScope Employment Cube (September 2021),[518.5 KB],[19.27 MB],Website: www.fedscope.opm.gov  Email: FedScope@opm.gov,fedscope,2/18/2023
https://www.opm.gov/data/datasets/Files/630/9a772b04-cab4-4b89-b62a-a3859371cb13.zip,23.1,FedScope Employment Cube (June 2021),[516.61 KB],[23.1 MB],Website: www.fedscope.opm.gov  Email: FedScope@opm.gov,fedscope,8/28/2021
https://www.opm.gov/data/datasets/Files/627/50a78d22-bf49-4051-b789-aaec9ab47372.zip,19.11,FedScope Employment Cube (March 2021),[518.02 KB],[19.11 MB],Website: www.fedscope.opm.gov  Email: FedScope@opm.gov,fedscope,6/15/2021
https://www.opm.gov/data/datasets/Files/624/1c47e9bd-e815-46fd-b877-7233e1ead5e8.zip,19.14,FedScope Employment Cube (December 2020),[516.78 KB],[19.14 MB],Website: www.fedscope.opm.gov  Email: FedScope@opm.gov,fedscope,12/15/2021
https://www.opm.gov/data/datasets/Files/621/07f71358-8972-478e-a2cb-fd02f135b7af.zip,19.3,FedScope Employment Cube (September 2020),[514.85 KB],[19.3 MB],Website: www.fedscope.opm.gov  Email: FedScope@opm.gov,fedscope,2/18/2023
https://www.opm.gov/data/datasets/Files/618/2a0c6f3f-cb86-4418-8bb8-edccefae01d5.zip,19.07,FedScope Employment Cube (June 2020),[514.71 KB],[19.07 MB],Website: www.fedscope.opm.gov  Email: FedScope@opm.gov,fedscope,12/16/2021
https://www.opm.gov/data/datasets/Files/612/9f7eab79-e539-45fe-8e8a-00663e3ec190.zip,18.97,FedScope Employment Cube (March 2020),[514.82 KB],[18.97 MB],Website: www.fedscope.opm.gov  Email: FedScope@opm.gov,fedscope,12/16/2021
