Employment-Based,All_Chargeability_Except_Listed,INDIA,MEXICO,PHILIPPINES,CHINA-MAINLAND,DOMINICAN REPUBLIC,EL SALVADOR  GUATEMALA  HONDURAS,VIETNAM,time,Preference
1st,C,C,C,C,C,C,C,C,2001-12-01,E1
2nd,C,C,C,C,C,C,C,C,2001-12-01,E2
3rd,C,C,C,C,C,C,C,C,2001-12-01,E3
Other Workers,C,C,C,C,C,C,C,C,2001-12-01,E3_U
4th,C,C,C,C,C,C,C,C,2001-12-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2001-12-01,E4_R
5th,C,C,C,C,C,C,C,C,2001-12-01,E5
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2001-12-01,E5
1st,C,C,C,C,C,C,C,C,2002-01-01,E1
2nd,C,C,C,C,C,C,C,C,2002-01-01,E2
3rd,C,C,C,C,C,C,C,C,2002-01-01,E3
Other Workers,C,C,C,C,C,C,C,C,2002-01-01,E3_U
4th,C,C,C,C,C,C,C,C,2002-01-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2002-01-01,E4_R
5th,C,C,C,C,C,C,C,C,2002-01-01,E5
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2002-01-01,E5
1st,C,C,C,C,C,C,C,C,2002-02-01,E1
2nd,C,C,C,C,C,C,C,C,2002-02-01,E2
3rd,C,C,C,C,C,C,C,C,2002-02-01,E3
Other Workers,C,C,C,C,C,C,C,C,2002-02-01,E3_U
4th,C,C,C,C,C,C,C,C,2002-02-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2002-02-01,E4_R
5th,C,C,C,C,C,C,C,C,2002-02-01,E5
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2002-02-01,E5
1st,C,C,C,C,C,C,C,C,2002-03-01,E1
2nd,C,C,C,C,C,C,C,C,2002-03-01,E2
3rd,C,C,C,C,C,C,C,C,2002-03-01,E3
Other Workers,C,C,C,C,C,C,C,C,2002-03-01,E3_U
4th,C,C,C,C,C,C,C,C,2002-03-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2002-03-01,E4_R
5th,C,C,C,C,C,C,C,C,2002-03-01,E5
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2002-03-01,E5
1st,C,C,C,C,C,C,C,C,2002-04-01,E1
2nd,C,C,C,C,C,C,C,C,2002-04-01,E2
3rd,C,C,C,C,C,C,C,C,2002-04-01,E3
Other Workers,C,C,C,C,C,C,C,C,2002-04-01,E3_U
4th,C,C,C,C,C,C,C,C,2002-04-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2002-04-01,E4_R
5th,C,C,C,C,C,C,C,C,2002-04-01,E5
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2002-04-01,E5
1st,C,C,C,C,C,C,C,C,2002-05-01,E1
2nd,C,C,C,C,C,C,C,C,2002-05-01,E2
3rd,C,C,C,C,C,C,C,C,2002-05-01,E3
Other Workers,C,C,C,C,C,C,C,C,2002-05-01,E3_U
4th,C,C,C,C,C,C,C,C,2002-05-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2002-05-01,E4_R
