SYMBOL,CLASS,SECTION OF LAW,CATEGORY
IR1,Spouse of U.S. Citizen,INA 201(b).,I
IR2,Child of U.S. Citizen,INA 201(b).,I
IR3,Orphan Adopted Abroad by U.S. Citizen,INA 201(b) & INA 101(b)(1)(F).,I
IH3,Child from Hague Convention Country Adopted Abroad  by U.S. Citizen,INA 201(b) & INA 101(b)(1)(G).,I
IR4,Orphan to be Adopted in U.S. by U.S. Citizen,INA 201(b) & INA 101(b)(1)(F).,I
IH4,Child from Hague Convention Country to be Adopted  in U.S. by U.S. Citizen,INA 201(b) & INA 101(b)(1)(G).,I
IR5,Parent of U.S. Citizen at Least 21 Years of Age,INA 201(b).,I
CR1,Spouse of U.S. Citizen (Conditional Status),INA 201(b) & 216.,I
CR2,Stepchild of U.S. Citizen (Conditional Status),INA 201(b) & 216.,I
IW1,Certain Spouses of Deceased U.S. Citizens,INA 201(b).,I
IW2,Child of IW1,INA 201(b).,I
IB1,Self-petition Spouse of U.S. Citizen,INA 204(a)(1)(A)(iii).,I
IB2,Self-petition child of U.S. Citizen,INA 204(a)(1)(A)(iv).,I
IB3,Child of IB1,INA 204(a)(1)(A)(iii).,I
AM1,Vietnam Amerasian Principal,"Section 584(b)(1)(A) of the Foreign Operations,  Export Financing, and Related Programs Appropriations Act, 1988 (as contained  in section 101(e) of Public Law 100-202) as amended.",I
AM2,Spouse or Child of AM1,"Section 584(b)(1)(A) and 584(b)(1)(B) of the  Foreign Operations, Export Financing, and Related Programs Appropriations  Act, 1988 (as contained in section 101(e) of Public Law 100-202) as amended.",I
AM3,"Natural Mother of AM1 (and Spouse or Child of Such  Mother) or Person Who has Acted in Effect as the Mother, Father, or  Next-of-Kin of AM1 (and Spouse or Child of Such Person)","Section 584(b)(1)(A) and 584(b)(1)(C) of the  Foreign Operations, Export Financing, and Related Programs Appropriations  Act, 1988 (as contained in section 101(e) of Public Law 100-202) as amended.",I
SB1,Returning Resident,INA 101(a)(27)(A).,I
SC1,Person Who Lost U.S. Citizenship by Marriage,INA 101(a)(27)(B) & 324(a).,I
SC2,Person Who Lost U.S. Citizenship by Serving in  Foreign Armed Forces,INA 101(a)(27)(B) & 327.,I
SI1,Certain Aliens Employed by the U.S. Government in  Iraq or Afghanistan as Translators or Interpreters,Section 1059 of Public Law 109-163 as amended by  Public Law 110-36.,I
SI2,Spouse of SI1,Section 1059 of Public Law 109-163 as amended by  Public Law 110-36.,I
SI3,Child of SI1,Section 1059 of Public Law 109–163 as amended  by Public Law 110–36.,I
SM1,Alien Recruited Outside the United States Who Has  Served or is Enlisted to Serve in the U.S. Armed Forces for 12 Years,INA 101(a)(27)(K).,I
SM2,Spouse of SM1,INA 101(a)(27)(K).,I
SM3,Child of SM1,INA 101(a)(27)(K).,I
SQ1,Certain Iraqis or Afghans Employed by or on Behalf  of the U.S. Government,"Section 602(b), Division F, Title VI, Omnibus Appropriations  Act of 2009, Public Law 111–8 and Section 1244 of Public Law  110–181.",I
SQ2,Spouse of SQ1,"Section 602(b), Division F, Title VI, Omnibus  Appropriations Act of 2009, Public Law 111–8 and Section 1244 of Public  Law 110–181.",I
SQ3,Child of SQ1,"Section 602(b), Division F, Title VI, Omnibus  Appropriations Act of 2009, Public Law 111–8 and Section 1244 of Public  Law 110–181.",I
SU2,Spouse of U1,INA 245(m)(3) & INA 101(a)(15)(U)(ii).,I
SU3,Child of U1,INA 245(m)(3) & INA 101(a)(15)(U)(ii).,I
SU5,Parent of U1,INA 245(m)(3) & INA 101(a)(15)(U)(ii).,I
F11,Unmarried Son or Daughter of U.S. Citizen,INA 203(a)(1).,I
F12,Child of F11,INA 203(d) & 203(a)(1).,I
B11,Self-petition Unmarried Son or Daughter of U.S.  Citizen,INA 204(a)(1)(A)(iv) & INA 203(a)(1).,I
B12,Child of B11,"INA 203(d), INA 204(a)(1)(A)(iv) & INA  203(a)(1).",I
F21,Spouse of Lawful Permanent Resident,INA 203(a)(2)(A).,I
F22,Child of Lawful Permanent Resident,INA 203(a)(2)(A).,I
F23,Child of F21 or F22,INA 203(d) & INA 203(a)(2)(A).,I
F24,Unmarried Son or Daughter of Lawful Permanent  Resident,INA 203(a)(2)(B).,I
F25,Child of F24,INA 203(d) & INA 203(a)(2)(B).,I
C21,Spouse of Lawful Permanent Resident (Conditional),INA 203(a)(2)(A) & INA 216.,I
C22,Stepchild of Alien Resident (Conditional),INA 203(a)(2)(A) & INA 216.,I
C23,Child of C21 or C22 (Conditional),"INA 203(d), INA 203(a)(2)(A) & INA 216.",I
C24,Unmarried Son or Daughter of Lawful Permanent  Resident (Conditional),INA 203(a)(2)(B) & INA 216.,I
C25,Child of F24 (Conditional),"INA 203(d), INA 203(a)(2)(B) & INA 216.",I
B21,Self-petition Spouse of Lawful Permanent Resident,INA 204(a)(1)(B)(ii).,I
B22,Self-petition Child of Lawful Permanent Resident,INA 204(a)(1)(B)(iii).,I
B23,Child of B21 or B22,INA 203(d) & INA 204(a)(1)(B)(ii).,I
B24,Self-petition Unmarried Son or Daughter of Lawful  Permanent Resident,INA 204(a)(1)(B)(iii).,I
B25,Child of B24,INA 203(d) & INA 204(a)(1)(B)(iii).,I
FX1,Spouse of Lawful Permanent Resident,INA 202(a)(4)(A) & INA 203(a)(2)(A).,I
FX2,Child of Lawful Permanent Resident,INA 202(a)(4)(A) & INA 203(a)(2)(A).,I
FX3,Child of FX1 or FX2,"INA 202(a)(4)(A), INA 203(a)(2)(A) & INA  203(d).",I
CX1,Spouse of Lawful Permanent Resident (Conditional),"INA 202(a)(4)(A), INA 203(a)(2)(A) & INA 216.",I
CX2,Stepchild of Lawful Permanent Resident (Conditional),"INA 202(a)(4)(A), INA 203(a)(2)(A) & INA 216.",I
CX3,Child of CX1 or CX2 (Conditional),"INA 202(a)(4)(A), INA 203(a)(2)(A), INA 203(d)  & INA 216.",I
BX1,Self-petition Spouse of Lawful Permanent Resident,INA 204(a)(1)(B)(ii).,I
BX2,Self-petition Child of Lawful Permanent Resident,INA 204(a)(1)(B)(iii).,I
BX3,Child of BX1 or BX2,INA 204(a)(1)(B)(ii) & 203(d).,I
F31,Married Son or Daughter of U.S. Citizen,INA 203(a)(3).,I
F32,Spouse of F31,INA 203(d) & INA 203(a)(3).,I
F33,Child of F31,INA 203(d) & INA 203(a)(3).,I
C31,Married Son or Daughter of U.S. Citizen  (Conditional),INA 203(a)(3) & INA 216.,I
C32,Spouse of C31 (Conditional),"INA 203(d), INA 203(a)(3) & INA 216.",I
C33,Child of C31 (Conditional),"INA 203(d), INA 203(a)(3) & INA 216.",I
B31,Self-petition Married Son or Daughter of U.S.  Citizen,INA 204(a)(1)(A)(iv) & INA 203(a)(3).,I
B32,Spouse of B31,"INA 203(d), INA 204(a)(1)(A)(iv) & INA  203(a)(3).",I
B33,Child of B31,"INA 203(d), INA 204(a)(1)(A)(iv) & INA  203(a)(3).",I
F41,Brother or Sister of U.S. Citizen at Least 21 Years  of Age,INA 203(a)(4).,I
F42,Spouse of F41,INA 203(d) & INA 203(a)(4).,I
F43,Child of F41,INA 203(d) & INA 203(a)(4).,I
E11,Alien with Extraordinary Ability,INA 203(b)(1)(A).,I
E12,Outstanding Professor or Researcher,INA 203(b)(1)(B).,I
E13,Multinational Executive or Manager,INA 203(b)(1)(C).,I
