url,stamp,table
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2002/visa-bulletin-for-december-2001.html,2001-12-01,"<table class=""grid"" border=""1"" cellspacing=""0"" cellpadding=""3"" width=""100%"">
<tbody><tr><th> </th>
<th>All Chargeability Areas Except Those Listed</th>
<th>INDIA</th>
<th>MEXICO</th>
<th>PHILIPPINES</th>
</tr><tr><th><p><b>Employment-<br>
 Based</b></p>
</th>
<td valign=""top""> </td>
<td valign=""top""> </td>
<td valign=""top""> </td>
<td valign=""top""> </td>
</tr><tr><th>1st</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr><tr><th>2nd</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr><tr><th>3rd</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr><tr><th>Other Workers</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr><tr><th>4th</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr><tr><th>Certain Religious Workers</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr><tr><th>5th</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr><tr><th>Targeted Employment Areas/Regional Centers</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr></tbody></table>"
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2002/visa-bulletin-for-january-2002.html,2002-01-01,"<table class=""grid"" border=""1"" cellspacing=""0"" cellpadding=""3"" width=""100%"">
<tbody><tr><th> </th>
<th>All Chargeability Areas Except Those Listed</th>
<th>INDIA</th>
<th>MEXICO</th>
<th>PHILIPPINES</th>
</tr><tr><th><p><b>Employment-<br>
 Based</b></p>
</th>
<td valign=""top""> </td>
<td valign=""top""> </td>
<td valign=""top""> </td>
<td valign=""top""> </td>
</tr><tr><th>1st</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr><tr><th>2nd</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr><tr><th>3rd</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr><tr><th>Other Workers</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr><tr><th>4th</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr><tr><th>Certain Religious Workers</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr><tr><th>5th</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr><tr><th>Targeted Employment Areas/Regional Centers</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr></tbody></table>"
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2002/visa-bulletin-for-february-2002.html,2002-02-01,"<table class=""grid"" border=""1"" cellspacing=""0"" cellpadding=""3"" width=""100%"">
<tbody><tr><th> </th>
<th>All Chargeability Areas Except Those Listed</th>
<th>INDIA</th>
<th>MEXICO</th>
<th>PHILIPPINES</th>
</tr><tr><th><p><b>Employment-<br>
 Based</b></p>
</th>
<td valign=""top""> </td>
<td valign=""top""> </td>
<td valign=""top""> </td>
<td valign=""top""> </td>
</tr><tr><th>1st</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr><tr><th>2nd</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr><tr><th>3rd</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr><tr><th>Other Workers</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr><tr><th>4th</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr><tr><th>Certain Religious Workers</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr><tr><th>5th</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr><tr><th>Targeted Employment Areas/Regional Centers</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr></tbody></table>"
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2002/visa-bulletin-for-march-2002.html,2002-03-01,"<table class=""grid"" border=""1"" cellspacing=""0"" cellpadding=""3"" width=""100%"">
<tbody><tr><th> </th>
<th>All Chargeability Areas Except Those Listed</th>
<th>INDIA</th>
<th>MEXICO</th>
<th>PHILIPPINES</th>
</tr><tr><th><p><b>Employment-<br>
 Based</b></p>
</th>
<td valign=""top""> </td>
<td valign=""top""> </td>
<td valign=""top""> </td>
<td valign=""top""> </td>
</tr><tr><th>1st</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr><tr><th>2nd</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr><tr><th>3rd</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr><tr><th>Other Workers</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr><tr><th>4th</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr><tr><th>Certain Religious Workers</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr><tr><th>5th</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr><tr><th>Targeted Employment Areas/Regional Centers</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr></tbody></table>"
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2002/visa-bulletin-for-april-2002.html,2002-04-01,"<table class=""grid"" width=""100%"" cellspacing=""0"" cellpadding=""3"" border=""1"">
<tbody><tr><th> </th>
<th>All Chargeability Areas Except Those Listed</th>
<th>INDIA</th>
<th>MEXICO</th>
<th>PHILIPPINES</th>
</tr><tr><th><p><b>Employment-Based</b></p>
</th>
<td valign=""top""> </td>
<td valign=""top""> </td>
<td valign=""top""> </td>
<td valign=""top""> </td>
</tr><tr><th>1st</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr><tr><th>2nd</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr><tr><th>3rd</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr><tr><th>Other Workers</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr><tr><th>4th</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr><tr><th>Certain Religious Workers</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr><tr><th>5th</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr><tr><th>Targeted Employment Areas/Regional Centers</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr></tbody></table>"
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2002/visa-bulletin-for-may-2002.html,2002-05-01,"<table class=""grid"" width=""100%"" cellspacing=""0"" cellpadding=""3"" border=""1"">
<tbody><tr><th> </th>
<th>All Chargeability Areas Except Those Listed</th>
<th>INDIA</th>
<th>MEXICO</th>
<th>PHILIPPINES</th>
</tr><tr><th><p><b>Employment</b>-<b>Based</b></p>
</th>
<td valign=""top""> </td>
<td valign=""top""> </td>
<td valign=""top""> </td>
<td valign=""top""> </td>
</tr><tr><th>1st</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr><tr><th>2nd</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr><tr><th>3rd</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr><tr><th>Other Workers</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr><tr><th>4th</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr><tr><th>Certain Religious Workers</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr><tr><th>5th</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr><tr><th>Targeted Employment Areas/Regional Centers</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr></tbody></table>"
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2002/visa-bulletin-for-june-2002.html,2002-06-01,"<table class=""grid"" width=""100%"" cellspacing=""0"" cellpadding=""3"" border=""1"">
<tbody><tr><th> </th>
<th>All Chargeability Areas Except Those Listed</th>
<th>INDIA</th>
<th>MEXICO</th>
<th>PHILIPPINES</th>
</tr><tr><th><p><b>Employment</b>-<b>Based</b></p>
</th>
<td valign=""top""> </td>
<td valign=""top""> </td>
<td valign=""top""> </td>
<td valign=""top""> </td>
</tr><tr><th>1st</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr><tr><th>2nd</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr><tr><th>3rd</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr><tr><th>Other Workers</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr><tr><th>4th</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr><tr><th>Certain Religious Workers</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr><tr><th>5th</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr><tr><th>Targeted Employment Areas/Regional Centers</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr></tbody></table>"
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2002/visa-bulletin-for-july-2002.html,2002-07-01,"<table class=""grid"" width=""100%"" cellspacing=""0"" cellpadding=""3"" border=""1"">
<tbody><tr><th> </th>
<th>All Chargeability Areas Except Those Listed</th>
<th>INDIA</th>
<th>MEXICO</th>
<th>PHILIPPINES</th>
</tr><tr><th><p><b>Employment</b>-<b>Based</b></p>
</th>
<td valign=""top""> </td>
<td valign=""top""> </td>
<td valign=""top""> </td>
<td valign=""top""> </td>
</tr><tr><th>1st</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr><tr><th>2nd</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr><tr><th>3rd</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr><tr><th>Other Workers</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr><tr><th>4th</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr><tr><th>Certain Religious Workers</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr><tr><th>5th<sup></sup></th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr><tr><th>Targeted Employment Areas/Regional Centers</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr></tbody></table>"
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2002/visa-bulletin-for-august-2002.html,2002-08-01,"<table class=""grid"" width=""100%"" cellspacing=""0"" cellpadding=""3"" border=""1"">
<tbody><tr><th> </th>
<th>All Chargeability Areas Except Those Listed</th>
<th>INDIA</th>
<th>MEXICO</th>
<th>PHILIPPINES</th>
</tr><tr><th><p><b>Employment</b>-<b>Based</b></p>
</th>
<td valign=""top""> </td>
<td valign=""top""> </td>
<td valign=""top""> </td>
<td valign=""top""> </td>
</tr><tr><th>1st</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr><tr><th>2nd</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr><tr><th>3rd</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr><tr><th>Other Workers</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr><tr><th>4th</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr><tr><th>Certain Religious Workers</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr><tr><th>5th</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr><tr><th>Targeted Employment Areas/Regional Centers</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr></tbody></table>"
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2002/visa-bulletin-for-september-2002.html,2002-09-01,"<table class=""grid"" width=""100%"" cellspacing=""0"" cellpadding=""3"" border=""1"">
<tbody><tr><th> </th>
<th>All Chargeability Areas Except Those Listed</th>
<th>INDIA</th>
<th>MEXICO</th>
<th>PHILIPPINES</th>
</tr><tr><th><p><b>Employment</b>-<b>Based</b></p>
</th>
<td valign=""top""> </td>
<td valign=""top""> </td>
<td valign=""top""> </td>
<td valign=""top""> </td>
</tr><tr><th>1st</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr><tr><th>2nd</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr><tr><th>3rd</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr><tr><th>Other Workers</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr><tr><th>4th</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr><tr><th>Certain Religious Workers</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr><tr><th>5th</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr><tr><th>Targeted Employment Areas/Regional Centers</th>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
<td valign=""top"">C</td>
</tr></tbody></table>"
