url,mmyy,stamp,length,table
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2002/visa-bulletin-for-december-2001.html,DECEMBER_2001,2001-12-01,1,"['<table class=""grid"" border=""1"" cellspacing=""0"" cellpadding=""3"" width=""100%"">\n<tbody><tr><th>\xa0</th>\n<th>All Chargeability Areas Except Those Listed</th>\n<th>INDIA</th>\n<th>MEXICO</th>\n<th>PHILIPPINES</th>\n</tr><tr><th><p><b>Employment-<br>\n Based</b></p>\n</th>\n<td valign=""top"">\xa0</td>\n<td valign=""top"">\xa0</td>\n<td valign=""top"">\xa0</td>\n<td valign=""top"">\xa0</td>\n</tr><tr><th>1st</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr><tr><th>2nd</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr><tr><th>3rd</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr><tr><th>Other Workers</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr><tr><th>4th</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr><tr><th>Certain Religious Workers</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr><tr><th>5th</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr><tr><th>Targeted Employment Areas/Regional Centers</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr></tbody></table>']"
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2002/visa-bulletin-for-january-2002.html,JANUARY_2002,2002-01-01,1,"['<table class=""grid"" border=""1"" cellspacing=""0"" cellpadding=""3"" width=""100%"">\n<tbody><tr><th>\xa0</th>\n<th>All Chargeability Areas Except Those Listed</th>\n<th>INDIA</th>\n<th>MEXICO</th>\n<th>PHILIPPINES</th>\n</tr><tr><th><p><b>Employment-<br>\n Based</b></p>\n</th>\n<td valign=""top"">\xa0</td>\n<td valign=""top"">\xa0</td>\n<td valign=""top"">\xa0</td>\n<td valign=""top"">\xa0</td>\n</tr><tr><th>1st</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr><tr><th>2nd</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr><tr><th>3rd</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr><tr><th>Other Workers</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr><tr><th>4th</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr><tr><th>Certain Religious Workers</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr><tr><th>5th</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr><tr><th>Targeted Employment Areas/Regional Centers</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr></tbody></table>']"
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2002/visa-bulletin-for-february-2002.html,FEBRUARY_2002,2002-02-01,1,"['<table class=""grid"" border=""1"" cellspacing=""0"" cellpadding=""3"" width=""100%"">\n<tbody><tr><th>\xa0</th>\n<th>All Chargeability Areas Except Those Listed</th>\n<th>INDIA</th>\n<th>MEXICO</th>\n<th>PHILIPPINES</th>\n</tr><tr><th><p><b>Employment-<br>\n Based</b></p>\n</th>\n<td valign=""top"">\xa0</td>\n<td valign=""top"">\xa0</td>\n<td valign=""top"">\xa0</td>\n<td valign=""top"">\xa0</td>\n</tr><tr><th>1st</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr><tr><th>2nd</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr><tr><th>3rd</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr><tr><th>Other Workers</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr><tr><th>4th</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr><tr><th>Certain Religious Workers</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr><tr><th>5th</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr><tr><th>Targeted Employment Areas/Regional Centers</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr></tbody></table>']"
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2002/visa-bulletin-for-march-2002.html,MARCH_2002,2002-03-01,1,"['<table class=""grid"" border=""1"" cellspacing=""0"" cellpadding=""3"" width=""100%"">\n<tbody><tr><th>\xa0</th>\n<th>All Chargeability Areas Except Those Listed</th>\n<th>INDIA</th>\n<th>MEXICO</th>\n<th>PHILIPPINES</th>\n</tr><tr><th><p><b>Employment-<br>\n Based</b></p>\n</th>\n<td valign=""top"">\xa0</td>\n<td valign=""top"">\xa0</td>\n<td valign=""top"">\xa0</td>\n<td valign=""top"">\xa0</td>\n</tr><tr><th>1st</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr><tr><th>2nd</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr><tr><th>3rd</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr><tr><th>Other Workers</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr><tr><th>4th</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr><tr><th>Certain Religious Workers</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr><tr><th>5th</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr><tr><th>Targeted Employment Areas/Regional Centers</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr></tbody></table>']"
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2002/visa-bulletin-for-april-2002.html,APRIL_2002,2002-04-01,1,"['<table class=""grid"" width=""100%"" cellspacing=""0"" cellpadding=""3"" border=""1"">\n<tbody><tr><th>\xa0</th>\n<th>All Chargeability Areas Except Those Listed</th>\n<th>INDIA</th>\n<th>MEXICO</th>\n<th>PHILIPPINES</th>\n</tr><tr><th><p><b>Employment-Based</b></p>\n</th>\n<td valign=""top"">\xa0</td>\n<td valign=""top"">\xa0</td>\n<td valign=""top"">\xa0</td>\n<td valign=""top"">\xa0</td>\n</tr><tr><th>1st</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr><tr><th>2nd</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr><tr><th>3rd</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr><tr><th>Other Workers</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr><tr><th>4th</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr><tr><th>Certain Religious Workers</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr><tr><th>5th</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr><tr><th>Targeted Employment Areas/Regional Centers</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr></tbody></table>']"
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2002/visa-bulletin-for-may-2002.html,MAY_2002,2002-05-01,1,"['<table class=""grid"" width=""100%"" cellspacing=""0"" cellpadding=""3"" border=""1"">\n<tbody><tr><th>\xa0</th>\n<th>All Chargeability Areas Except Those Listed</th>\n<th>INDIA</th>\n<th>MEXICO</th>\n<th>PHILIPPINES</th>\n</tr><tr><th><p><b>Employment</b>-<b>Based</b></p>\n</th>\n<td valign=""top"">\xa0</td>\n<td valign=""top"">\xa0</td>\n<td valign=""top"">\xa0</td>\n<td valign=""top"">\xa0</td>\n</tr><tr><th>1st</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr><tr><th>2nd</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr><tr><th>3rd</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr><tr><th>Other Workers</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr><tr><th>4th</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr><tr><th>Certain Religious Workers</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr><tr><th>5th</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr><tr><th>Targeted Employment Areas/Regional Centers</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr></tbody></table>']"
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2002/visa-bulletin-for-june-2002.html,JUNE_2002,2002-06-01,1,"['<table class=""grid"" width=""100%"" cellspacing=""0"" cellpadding=""3"" border=""1"">\n<tbody><tr><th>\xa0</th>\n<th>All Chargeability Areas Except Those Listed</th>\n<th>INDIA</th>\n<th>MEXICO</th>\n<th>PHILIPPINES</th>\n</tr><tr><th><p><b>Employment</b>-<b>Based</b></p>\n</th>\n<td valign=""top"">\xa0</td>\n<td valign=""top"">\xa0</td>\n<td valign=""top"">\xa0</td>\n<td valign=""top"">\xa0</td>\n</tr><tr><th>1st</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr><tr><th>2nd</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr><tr><th>3rd</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr><tr><th>Other Workers</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr><tr><th>4th</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr><tr><th>Certain Religious Workers</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr><tr><th>5th</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr><tr><th>Targeted Employment Areas/Regional Centers</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr></tbody></table>']"
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2002/visa-bulletin-for-july-2002.html,JULY_2002,2002-07-01,1,"['<table class=""grid"" width=""100%"" cellspacing=""0"" cellpadding=""3"" border=""1"">\n<tbody><tr><th>\xa0</th>\n<th>All Chargeability Areas Except Those Listed</th>\n<th>INDIA</th>\n<th>MEXICO</th>\n<th>PHILIPPINES</th>\n</tr><tr><th><p><b>Employment</b>-<b>Based</b></p>\n</th>\n<td valign=""top"">\xa0</td>\n<td valign=""top"">\xa0</td>\n<td valign=""top"">\xa0</td>\n<td valign=""top"">\xa0</td>\n</tr><tr><th>1st</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr><tr><th>2nd</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr><tr><th>3rd</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr><tr><th>Other Workers</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr><tr><th>4th</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr><tr><th>Certain Religious Workers</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr><tr><th>5th<sup></sup></th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr><tr><th>Targeted Employment Areas/Regional Centers</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr></tbody></table>']"
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2002/visa-bulletin-for-august-2002.html,AUGUST_2002,2002-08-01,1,"['<table class=""grid"" width=""100%"" cellspacing=""0"" cellpadding=""3"" border=""1"">\n<tbody><tr><th>\xa0</th>\n<th>All Chargeability Areas Except Those Listed</th>\n<th>INDIA</th>\n<th>MEXICO</th>\n<th>PHILIPPINES</th>\n</tr><tr><th><p><b>Employment</b>-<b>Based</b></p>\n</th>\n<td valign=""top"">\xa0</td>\n<td valign=""top"">\xa0</td>\n<td valign=""top"">\xa0</td>\n<td valign=""top"">\xa0</td>\n</tr><tr><th>1st</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr><tr><th>2nd</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr><tr><th>3rd</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr><tr><th>Other Workers</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr><tr><th>4th</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr><tr><th>Certain Religious Workers</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr><tr><th>5th</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr><tr><th>Targeted Employment Areas/Regional Centers</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr></tbody></table>']"
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2002/visa-bulletin-for-september-2002.html,SEPTEMBER_2002,2002-09-01,1,"['<table class=""grid"" width=""100%"" cellspacing=""0"" cellpadding=""3"" border=""1"">\n<tbody><tr><th>\xa0</th>\n<th>All Chargeability Areas Except Those Listed</th>\n<th>INDIA</th>\n<th>MEXICO</th>\n<th>PHILIPPINES</th>\n</tr><tr><th><p><b>Employment</b>-<b>Based</b></p>\n</th>\n<td valign=""top"">\xa0</td>\n<td valign=""top"">\xa0</td>\n<td valign=""top"">\xa0</td>\n<td valign=""top"">\xa0</td>\n</tr><tr><th>1st</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr><tr><th>2nd</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr><tr><th>3rd</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr><tr><th>Other Workers</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr><tr><th>4th</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr><tr><th>Certain Religious Workers</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr><tr><th>5th</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr><tr><th>Targeted Employment Areas/Regional Centers</th>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n<td valign=""top"">C</td>\n</tr></tbody></table>']"
