Employment-Based,All_Chargeability_Except_Listed,INDIA,MEXICO,PHILIPPINES,CHINA-MAINLAND,DOMINICAN REPUBLIC,EL SALVADOR  GUATEMALA  HONDURAS,VIETNAM,time
1st,C,C,C,C,C,C,C,C,2001-12-01
2nd,C,C,C,C,C,C,C,C,2001-12-01
3rd,C,C,C,C,C,C,C,C,2001-12-01
Other Workers,C,C,C,C,C,C,C,C,2001-12-01
4th,C,C,C,C,C,C,C,C,2001-12-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2001-12-01
5th,C,C,C,C,C,C,C,C,2001-12-01
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2001-12-01
1st,C,C,C,C,C,C,C,C,2002-01-01
2nd,C,C,C,C,C,C,C,C,2002-01-01
3rd,C,C,C,C,C,C,C,C,2002-01-01
Other Workers,C,C,C,C,C,C,C,C,2002-01-01
4th,C,C,C,C,C,C,C,C,2002-01-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2002-01-01
5th,C,C,C,C,C,C,C,C,2002-01-01
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2002-01-01
1st,C,C,C,C,C,C,C,C,2002-02-01
2nd,C,C,C,C,C,C,C,C,2002-02-01
3rd,C,C,C,C,C,C,C,C,2002-02-01
Other Workers,C,C,C,C,C,C,C,C,2002-02-01
4th,C,C,C,C,C,C,C,C,2002-02-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2002-02-01
5th,C,C,C,C,C,C,C,C,2002-02-01
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2002-02-01
1st,C,C,C,C,C,C,C,C,2002-03-01
2nd,C,C,C,C,C,C,C,C,2002-03-01
3rd,C,C,C,C,C,C,C,C,2002-03-01
Other Workers,C,C,C,C,C,C,C,C,2002-03-01
4th,C,C,C,C,C,C,C,C,2002-03-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2002-03-01
5th,C,C,C,C,C,C,C,C,2002-03-01
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2002-03-01
1st,C,C,C,C,C,C,C,C,2002-04-01
2nd,C,C,C,C,C,C,C,C,2002-04-01
3rd,C,C,C,C,C,C,C,C,2002-04-01
Other Workers,C,C,C,C,C,C,C,C,2002-04-01
4th,C,C,C,C,C,C,C,C,2002-04-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2002-04-01
5th,C,C,C,C,C,C,C,C,2002-04-01
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2002-04-01
1st,C,C,C,C,C,C,C,C,2002-05-01
2nd,C,C,C,C,C,C,C,C,2002-05-01
3rd,C,C,C,C,C,C,C,C,2002-05-01
Other Workers,C,C,C,C,C,C,C,C,2002-05-01
