Employment-Based,All_Chargeability_Except_Listed,INDIA,MEXICO,PHILIPPINES,CHINA-MAINLAND,DOMINICAN REPUBLIC,EL SALVADOR  GUATEMALA  HONDURAS,VIETNAM,time,category
1st,C,C,C,C,C,C,C,C,12/1/01,1st
2nd,C,C,C,C,C,C,C,C,12/1/01,2nd
3rd,C,C,C,C,C,C,C,C,12/1/01,3rd
Other Workers,C,C,C,C,C,C,C,C,12/1/01,Other Workers
4th,C,C,C,C,C,C,C,C,12/1/01,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,12/1/01,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,12/1/01,5th
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,12/1/01,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,1/1/02,1st
2nd,C,C,C,C,C,C,C,C,1/1/02,2nd
3rd,C,C,C,C,C,C,C,C,1/1/02,3rd
Other Workers,C,C,C,C,C,C,C,C,1/1/02,Other Workers
4th,C,C,C,C,C,C,C,C,1/1/02,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,1/1/02,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,1/1/02,5th
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,1/1/02,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,2/1/02,1st
2nd,C,C,C,C,C,C,C,C,2/1/02,2nd
3rd,C,C,C,C,C,C,C,C,2/1/02,3rd
Other Workers,C,C,C,C,C,C,C,C,2/1/02,Other Workers
4th,C,C,C,C,C,C,C,C,2/1/02,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,2/1/02,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,2/1/02,5th
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2/1/02,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,3/1/02,1st
2nd,C,C,C,C,C,C,C,C,3/1/02,2nd
3rd,C,C,C,C,C,C,C,C,3/1/02,3rd
Other Workers,C,C,C,C,C,C,C,C,3/1/02,Other Workers
4th,C,C,C,C,C,C,C,C,3/1/02,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,3/1/02,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,3/1/02,5th
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,3/1/02,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,4/1/02,1st
2nd,C,C,C,C,C,C,C,C,4/1/02,2nd
3rd,C,C,C,C,C,C,C,C,4/1/02,3rd
Other Workers,C,C,C,C,C,C,C,C,4/1/02,Other Workers
4th,C,C,C,C,C,C,C,C,4/1/02,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,4/1/02,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,4/1/02,5th
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,4/1/02,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,5/1/02,1st
2nd,C,C,C,C,C,C,C,C,5/1/02,2nd
3rd,C,C,C,C,C,C,C,C,5/1/02,3rd
Other Workers,C,C,C,C,C,C,C,C,5/1/02,Other Workers
4th,C,C,C,C,C,C,C,C,5/1/02,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,5/1/02,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,5/1/02,5th
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,5/1/02,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,6/1/02,1st
2nd,C,C,C,C,C,C,C,C,6/1/02,2nd
3rd,C,C,C,C,C,C,C,C,6/1/02,3rd
Other Workers,C,C,C,C,C,C,C,C,6/1/02,Other Workers
4th,C,C,C,C,C,C,C,C,6/1/02,4th
